Browser,Event,Object Parameters,Chart,Status
Chrome,initialized,"('dataSource = ', {u'chart': {u'yaxisname': u'Sales (In USD)', u'plottooltext': u'<b>$yDataValue</b> worth <b>$seriesNames</b> were sold,<br>when temperature was <b>$xDataValue</b>', u'yaxisminvalue': u'1200', u'ynumberprefix': u'$', u'xaxismaxvalue': u'100', u'showlegend': u'0', u'xaxisname': u'Avg. Temperature', u'caption': u'Sales of Ice creams at Broadway Store', u'theme': u'fusion', u'xnumbersuffix': u'\xb0F', u'xaxisminvalue': u'20', u'subcaption': u'Sales vs. Avg. Temperature<br>Los Angeles Topanga'}, u'categories': [{u'category': [{u'x': u'20', u'showverticalline': u'0', u'label': u'20\xb0F'}, {u'x': u'40', u'label': u'40\xb0F'}, {u'x': u'60', u'label': u'60\xb0F'}, {u'x': u'80', u'label': u'80\xb0F'}, {u'x': u'100', u'label': u'100\xb0F'}], u'verticallinedashed': u'1', u'verticallinedashgap': u'1', u'verticallinecolor': u'#000000', u'verticallinedashlen': u'1', u'verticallinethickness': u'1'}], u'dataset': [{u'seriesname': u'Ice Cream', u'anchorbgcolor': u'5D62B5', u'data': [{u'y': u'1450', u'x': u'21'}, {u'y': u'1490', u'x': u'22'}, {u'y': u'1560', u'x': u'23'}, {u'y': u'1500', u'x': u'24'}, {u'y': u'1680', u'x': u'24'}, {u'y': u'1780', u'x': u'25'}, {u'y': u'1620', u'x': u'25'}, {u'y': u'1810', u'x': u'26'}, {u'y': u'2310', u'x': u'27'}, {u'y': u'2620', u'x': u'29'}, {u'y': u'2500', u'x': u'31'}, {u'y': u'2410', u'x': u'32'}, {u'y': u'2530', u'x': u'33'}, {u'y': u'3280', u'x': u'34'}, {u'y': u'2880', u'x': u'35'}, {u'y': u'3910', u'x': u'36'}, {u'y': u'3960', u'x': u'34'}, {u'y': u'4080', u'x': u'38'}, {u'y': u'3880', u'x': u'37'}, {u'y': u'3910', u'x': u'39'}, {u'y': u'4210', u'x': u'39'}, {u'y': u'4190', u'x': u'40'}, {u'y': u'4170', u'x': u'41'}, {u'y': u'4280', u'x': u'42'}, {u'y': u'4350', u'x': u'43'}, {u'y': u'4880', u'x': u'44'}, {u'y': u'4700', u'x': u'45'}, {u'y': u'5100', u'x': u'47'}, {u'y': u'5190', u'x': u'48'}, {u'y': u'5000', u'x': u'48'}, {u'y': u'5210', u'x': u'49'}, {u'y': u'5110', u'x': u'50'}, {u'y': u'5200', u'x': u'50'}, {u'y': u'5210', u'x': u'52'}, {u'y': u'5330', u'x': u'53'}, {u'y': u'5180', u'x': u'54'}, {u'y': u'5770', u'x': u'53'}, {u'y': u'5900', u'x': u'55'}, {u'y': u'5940', u'x': u'56'}, {u'y': u'6090', u'x': u'58'}, {u'y': u'6086', u'x': u'61'}, {u'y': u'6185', u'x': u'62'}, {u'y': u'6815', u'x': u'63'}, {u'y': u'6273', u'x': u'62'}, {u'y': u'6143', u'x': u'64'}, {u'y': u'6151', u'x': u'65'}, {u'y': u'6100', u'x': u'67'}, {u'y': u'6200', u'x': u'68'}, {u'y': u'6360', u'x': u'70'}, {u'y': u'6860', u'x': u'71'}, {u'y': u'6150', u'x': u'71'}, {u'y': u'6150', u'x': u'72'}, {u'y': u'6273', u'x': u'73'}, {u'y': u'6650', u'x': u'74'}, {u'y': u'6133', u'x': u'74'}, {u'y': u'6450', u'x': u'75'}, {u'y': u'6650', u'x': u'79'}, {u'y': u'6710', u'x': u'80'}, {u'y': u'6975', u'x': u'79'}, {u'y': u'7000', u'x': u'82'}, {u'y': u'7150', u'x': u'85'}, {u'y': u'7160', u'x': u'86'}, {u'y': u'7200', u'x': u'86'}, {u'y': u'7230', u'x': u'88'}, {u'y': u'7210', u'x': u'87'}, {u'y': u'7480', u'x': u'86'}, {u'y': u'7540', u'x': u'89'}, {u'y': u'7400', u'x': u'89'}, {u'y': u'7500', u'x': u'90'}, {u'y': u'7640', u'x': u'92'}, {u'y': u'7340', u'x': u'90'}, {u'y': u'7840', u'x': u'94'}, {u'y': u'7140', u'x': u'95'}, {u'y': u'7510', u'x': u'95'}, {u'y': u'6940', u'x': u'96'}, {u'y': u'7100', u'x': u'97'}, {u'y': u'7840', u'x': u'98'}]}]})",scatter,PASS
Chrome,initialized,"('height = ', u'500')",scatter,PASS
Chrome,initialized,"('renderAt = ', u'chart-container')",scatter,PASS
Chrome,initialized,"('type = ', u'scatter')",scatter,PASS
Chrome,initialized,"('width = ', u'800')",scatter,PASS
Chrome,rendered,"('eventType = ', u'rendered')",pie,PASS
Chrome,rendered,"('eventId = ', 294)",pie,PASS
Chrome,rendered,"('cancelled = ', False)",pie,PASS
Chrome,rendered,"('stopPropagation = ', {})",pie,PASS
Chrome,rendered,"('defaultPrevented = ', False)",pie,PASS
